gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons
ADCY10	ENST00000367851	32	0		0		10	6,20,21,25,26,27,28,30,32,33
ADCY3	ENST00000679454	21	0		0		7	2,4,5,13,14,17,22
ADCY5	ENST00000462833	21	0		0		7	1,2,3,5,15,18,19
ADCY6	ENST00000357869	21	0		0		4	2,3,6,20
ADD1	ENST00000683351	15	0		0		8	2,5,7,10,11,12,15,16
ADD3	ENST00000356080	14	0		0		6	3,4,11,12,14,15
ADGRA3	ENST00000334304	19	0		0		6	1,4,5,13,16,19
ADGRE2	ENST00000315576	20	0		0		7	5,6,7,11,13,15,19
ADGRG1	ENST00000562631	13	0		0		4	2,3,12,13
ADGRG2	ENST00000379869	27	0		5	4,5,8,11,13	25	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29
ADGRG4	ENST00000394143	23	0		2	6,23	21	4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
ADGRG6	ENST00000367609	25	0		0		16	3,4,5,6,7,8,9,12,13,14,15,16,20,22,23,25
ADGRL1	ENST00000361434	22	0		0		9	3,5,8,10,12,17,18,20,23
ADGRV1	ENST00000405460	90	0		0		38	1,2,3,4,7,11,12,14,15,17,19,20,21,23,24,28,31,33,35,42,44,46,47,49,58,63,67,70,71,72,74,76,78,79,80,81,82,84
ADH1B	ENST00000305046	9	0		0		4	1,4,6,8
ADH1C	ENST00000515683	9	0		0		5	3,4,6,7,8
ADH5	ENST00000296412	9	0		0		1	5
ADIPOQ	ENST00000320741	2	0		0		1	3
ADIPOR1	ENST00000340990	7	0		0		3	2,3,6
ADK	ENST00000539909	11	0		0		3	9,10,11
ADNP	ENST00000621696	3	0		0		2	4,6
ADPRS	ENST00000373178	6	0		0		3	1,3,4
ADRA2A	ENST00000280155	1	0		0		1	1
ADRA2B	ENST00000620793	1	0		0		1	1
ADRA2C	ENST00000330055	1	0		0		1	1
ADRB1	ENST00000369295	1	0		0		1	1
ADRB2	ENST00000305988	1	0		0		1	1
ADRB3	ENST00000345060	2	0		0		2	1,2
ADSL	ENST00000623063	13	0		0		2	1,9
ADSS1	ENST00000330877	13	0		0		1	12
AEBP1	ENST00000223357	21	0		0		3	1,11,18
AFDN	ENST00000683244	34	0		0		7	5,6,19,21,22,30,32
AFF2	ENST00000370460	21	0		4	3,11,15,20	21	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
AFF3	ENST00000672756	22	0		0		12	4,6,7,8,13,14,15,16,17,20,24,25
AFF4	ENST00000265343	20	0		0		9	2,3,7,10,11,13,14,15,19
AFG2A	ENST00000274008	16	0		0		6	1,3,5,10,13,16
AFG2B	ENST00000305560	8	0		0		6	1,2,3,5,7,8
AFG3L2	ENST00000269143	17	0		0		9	3,6,8,12,13,14,15,16,17
AFP	ENST00000395792	14	0		0		6	6,9,10,11,12,13
AGA	ENST00000264595	9	0		0		4	1,4,8,9
AGAP1	ENST00000304032	18	0		0		8	1,9,12,13,14,16,17,18
AGBL1	ENST00000614907	23	0		0		11	1,2,4,5,7,9,11,14,15,21,22
AGBL2	ENST00000525123	18	0		0		9	2,3,4,10,12,14,15,17,19
AGBL5	ENST00000360131	14	0		0		4	6,7,9,11
AGK	ENST00000649286	15	0		7	10,11,12,13,14,15,16	9	3,8,10,11,12,13,14,15,16
AGL	ENST00000361915	33	0		0		11	3,7,8,16,17,19,20,21,22,31,32
AGMO	ENST00000342526	13	0		0		5	1,2,5,7,9
AGO1	ENST00000373204	19	0		0		4	6,8,12,14
AGO2	ENST00000220592	19	0		0		10	2,4,5,6,9,11,12,14,15,18
AGO3	ENST00000373191	19	0		0		3	6,7,12
AGPAT2	ENST00000371696	6	0		0		1	3
AGPAT3	ENST00000291572	8	0		0		1	3
AGPAT5	ENST00000285518	8	0		0		4	1,4,5,6
AGPS	ENST00000264167	20	0		0		11	1,2,3,4,5,7,8,11,18,19,20
AGR2	ENST00000419304	7	0		0		2	2,8
AGRN	ENST00000379370	36	0		0		4	5,6,7,25
AGRP	ENST00000290953	3	0		0		0	
AGT	ENST00000366667	4	0		0		3	2,3,5
AGTPBP1	ENST00000357081	25	0		0		8	3,4,7,13,14,20,21,25
AGTR1	ENST00000349243	1	0		0		1	3
AGTR2	ENST00000371906	1	0		1	3	1	3
AGXT	ENST00000307503	11	0		0		1	10
AGXT2	ENST00000231420	14	0		0		5	3,5,6,7,14
AHCY	ENST00000217426	10	0		0		4	1,2,9,10
AHDC1	ENST00000673934	1	0		0		1	8
AHI1	ENST00000265602	26	0		0		10	7,8,9,10,11,17,18,21,23,25
AHNAK2	ENST00000333244	7	0		0		4	3,5,6,7
AHR	ENST00000242057	11	0		0		6	3,5,7,8,10,11
AHSG	ENST00000411641	7	0		0		3	2,5,7
AICDA	ENST00000229335	5	0		0		2	2,3
AIFM1	ENST00000287295	16	0		5	1,5,10,11,12	16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
AIMP1	ENST00000672341	6	0		0		2	4,5
AIMP2	ENST00000223029	4	0		0		2	1,2
AIP	ENST00000279146	6	0		0		0	
AIPL1	ENST00000381129	6	0		0		6	1,2,3,4,5,6
AIRE	ENST00000291582	14	0		0		1	5
AJAP1	ENST00000378191	5	0		0		2	1,2
AK1	ENST00000644144	6	0		0		1	6
AK2	ENST00000672715	6	0		0		2	1,2
AK7	ENST00000267584	18	0		0		9	1,2,3,5,9,10,14,15,18
AK9	ENST00000424296	40	0		0		19	2,11,12,13,16,18,21,22,23,25,26,27,28,30,32,33,34,36,37
AKAP10	ENST00000225737	15	0		0		8	4,5,7,9,10,11,13,14
AKAP3	ENST00000228850	3	0		0		3	4,5,6
AKAP6	ENST00000280979	12	0		0		3	4,12,13
AKAP9	ENST00000356239	50	0		1	23	17	7,8,10,17,20,21,23,31,33,39,41,42,43,44,45,46,50
AKNA	ENST00000374088	21	0		0		9	3,5,6,9,12,16,20,21,22
AKR1C2	ENST00000380753	9	0		1	7	4	1,2,6,7
AKR1C4	ENST00000263126	9	0		0		5	1,3,6,7,8
AKR1D1	ENST00000242375	9	0		0		3	3,4,7
AKR1E2	ENST00000298375	10	0		0		2	5,6
AKT1	ENST00000649815	13	0		0		0	
AKT2	ENST00000392038	13	0		0		5	4,5,10,11,12
AKT3	ENST00000673466	13	0		12	2,3,4,5,6,7,9,10,11,12,13,14	13	2,3,4,5,6,7,8,9,10,11,12,13,14
ALAD	ENST00000409155	11	0		0		1	5
ALAS2	ENST00000650242	10	0		2	3,7	10	2,3,4,5,6,7,8,9,10,11
ALB	ENST00000295897	14	0		0		5	4,5,6,8,9
ALDH18A1	ENST00000371224	17	0		0		4	2,3,4,13
ALDH1A2	ENST00000249750	13	0		0		7	1,2,4,7,8,9,11
ALDH1A3	ENST00000329841	13	0		0		4	2,6,8,13
ALDH1B1	ENST00000377698	1	0		0		1	2
ALDH1L2	ENST00000258494	23	0		0		4	7,11,12,21
ALDH2	ENST00000261733	13	0		0		7	6,7,8,9,11,12,13
ALDH3A2	ENST00000176643	10	0		0		5	2,3,4,6,7
ALDH4A1	ENST00000375341	15	0		0		2	10,12
ALDH5A1	ENST00000357578	10	0		0		4	3,6,7,10
ALDH6A1	ENST00000553458	12	0		0		7	1,2,3,5,6,9,10
ALDH7A1	ENST00000409134	18	0		0		2	1,6
ALDOA	ENST00000642816	9	0		0		6	3,4,6,8,9,10
ALDOB	ENST00000647789	8	0		0		3	4,6,7
ALG1	ENST00000262374	13	0		0		3	1,7,12
ALG10	ENST00000266483	3	0		0		2	1,3
ALG10B	ENST00000308742	3	0		0		2	1,3
ALG11	ENST00000521508	4	0		0		3	1,3,4
ALG12	ENST00000330817	9	0		0		4	3,5,7,10
ALG13	ENST00000394780	27	0		7	1,12,14,16,17,20,25	27	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ALG14	ENST00000370205	4	0		0		2	1,4
ALG2	ENST00000476832	2	0		0		2	1,2
ALG3	ENST00000397676	9	0		0		3	1,6,9
ALG5	ENST00000239891	10	0		0		5	2,3,4,5,8
ALG6	ENST00000263440	14	0		0		7	3,6,9,11,13,14,15
ALG8	ENST00000299626	13	0		0		6	1,2,3,8,10,12
ALG9	ENST00000616540	15	0		0		8	1,3,7,9,10,12,14,15
ALK	ENST00000389048	29	0		0		8	1,2,3,16,18,20,24,29
ALKBH8	ENST00000428149	11	0		0		3	4,11,12
ALMS1	ENST00000613296	23	0		0		9	4,5,8,9,10,14,16,18,19
ALOX12B	ENST00000647874	15	0		0		3	2,6,9
ALOX15	ENST00000293761	14	0		0		10	2,3,4,6,7,8,9,10,13,14
ALOX5	ENST00000374391	14	0		14	1,2,3,4,5,6,7,8,9,10,11,12,13,14	14	1,2,3,4,5,6,7,8,9,10,11,12,13,14
ALOX5AP	ENST00000380490	5	0		0		1	3
ALOXE3	ENST00000448843	15	0		0		7	2,3,8,10,12,13,16
ALPI	ENST00000295463	11	0		0		5	4,5,8,9,11
ALPK1	ENST00000650871	14	0		0		3	5,7,11
ALPK3	ENST00000258888	14	0		0		6	3,4,5,6,9,14
ALPL	ENST00000374840	11	0		0		4	3,7,10,12
ALS2	ENST00000264276	33	0		0		8	4,5,6,7,11,13,19,34
ALX1	ENST00000316824	4	0		0		3	1,2,4
ALX3	ENST00000647563	4	0		0		2	1,2
ALX4	ENST00000652299	4	0		0		3	1,3,4
AMACR	ENST00000335606	5	0		0		4	1,2,4,5
AMBN	ENST00000322937	13	0		0		4	5,11,12,13
AMBRA1	ENST00000683756	17	0		0		6	5,7,9,13,14,17
AMELX	ENST00000380714	5	0		2	5,6	5	2,3,4,5,6
AMER1	ENST00000374869	1	0		1	2	1	2
AMFR	ENST00000290649	14	0		0		6	4,6,9,10,13,14
AMH	ENST00000221496	5	0		0		1	5
AMHR2	ENST00000257863	11	0		0		3	6,9,11
AMIGO2	ENST00000550413	1	0		0		1	3
AMMECR1	ENST00000262844	6	0		2	1,2	6	1,2,3,4,5,6
AMN	ENST00000299155	12	0		0		1	5
AMOTL1	ENST00000433060	13	0		0		5	1,3,5,9,11
AMPD1	ENST00000520113	16	0		0		9	4,6,7,8,10,11,13,15,16
AMPD2	ENST00000528667	18	0		0		3	11,12,15
AMPD3	ENST00000396553	14	0		0		7	2,3,5,6,7,10,11
AMT	ENST00000273588	9	0		0		3	2,3,4
AMTN	ENST00000339336	8	0		0		2	3,5
ANAPC1	ENST00000341068	47	0		0		17	2,3,10,15,16,19,23,25,26,27,33,34,37,38,45,46,47
ANAPC7	ENST00000455511	11	0		0		3	1,4,7
ANG	ENST00000397990	1	0		0		0	
ANGPT1	ENST00000517746	9	0		0		5	1,2,3,4,7
ANGPT2	ENST00000629816	9	0		0		3	7,8,9
ANGPTL3	ENST00000371129	7	0		0		4	1,3,6,7
ANGPTL4	ENST00000301455	7	0		0		2	1,7
ANGPTL6	ENST00000253109	5	0		0		2	2,5
ANGPTL8	ENST00000252453	4	0		0		0	
ANK1	ENST00000289734	42	0		0		21	2,3,6,7,9,13,17,20,23,25,26,27,28,31,32,33,34,36,38,39,40
ANK2	ENST00000357077	46	0		0		9	3,6,12,15,31,38,39,42,43
ANK3	ENST00000280772	43	0		0		13	4,5,17,22,27,28,29,33,37,38,39,40,42
ANKDD1B	ENST00000601380	14	0		0		5	1,5,11,13,14
ANKFY1	ENST00000341657	25	0		0		7	4,12,18,19,20,21,23
ANKH	ENST00000284268	12	0		0		3	1,10,11
ANKLE2	ENST00000357997	13	0		0		8	2,3,4,5,8,9,11,13
ANKRD1	ENST00000371697	9	0		0		7	2,3,4,5,7,8,9
ANKRD11	ENST00000301030	11	0		0		6	4,5,8,9,12,13
ANKRD17	ENST00000358602	34	0		0		8	3,6,7,17,18,26,29,33
ANKRD24	ENST00000318934	21	0		0		6	4,5,6,9,10,18
ANKRD26	ENST00000376087	34	0		0		13	1,8,9,12,15,17,21,23,24,28,29,31,32
ANKRD31	ENST00000506364	26	0		0		16	1,4,5,7,8,9,10,13,14,15,16,19,21,22,23,26
ANKS1B	ENST00000683438	27	0		0		13	2,4,5,8,9,10,13,15,18,21,25,26,27
ANKS3	ENST00000304283	15	0		0		7	3,5,6,7,8,9,16
ANKS6	ENST00000353234	15	0		0		8	2,4,5,6,7,8,11,13
ANKZF1	ENST00000323348	13	0		0		1	10
ANLN	ENST00000265748	24	0		0		6	5,9,12,14,15,21
ANO1	ENST00000355303	26	0		0		9	1,2,3,4,5,11,22,25,26
ANO10	ENST00000292246	12	0		0		5	2,3,4,6,11
ANO3	ENST00000256737	27	0		0		4	3,4,23,24
ANO4	ENST00000392977	26	0		3	25,26,27	12	2,6,8,11,12,14,16,19,24,25,26,27
ANO5	ENST00000324559	22	0		0		6	3,7,10,12,13,16
ANO6	ENST00000320560	20	0		0		6	3,4,5,7,17,20
ANOS1	ENST00000262648	14	0		9	1,4,7,8,9,11,12,13,14	14	1,2,3,4,5,6,7,8,9,10,11,12,13,14
ANTXR1	ENST00000303714	18	0		0		4	1,10,12,15
ANTXR2	ENST00000403729	17	0		0		5	1,2,7,9,10
ANXA11	ENST00000422982	14	0		0		7	3,7,9,10,11,13,15
ANXA5	ENST00000296511	12	0		0		5	2,5,8,9,13
AOPEP	ENST00000375315	15	0		0		7	2,3,8,11,12,13,14
AP1B1	ENST00000357586	22	0		0		7	3,6,11,13,14,19,21
AP1G1	ENST00000299980	22	0		0		7	4,6,7,8,12,13,19
AP1S1	ENST00000337619	5	0		0		0	
AP1S2	ENST00000672987	5	0		0		4	2,3,5,6
AP1S3	ENST00000396654	5	0		0		2	4,5
AP2A2	ENST00000448903	22	16	2,3,4,5,6,8,9,10,12,13,14,15,17,18,19,21	21	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	21	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
AP2M1	ENST00000292807	11	0		0		6	3,6,7,9,10,12
AP2S1	ENST00000263270	5	0		0		1	5
AP3B1	ENST00000255194	27	0		0		9	1,8,11,14,15,16,17,24,27
AP3B2	ENST00000535359	27	0		0		8	1,7,8,10,14,15,23,25
AP3D1	ENST00000643116	32	0		0		8	6,7,13,14,15,21,30,31
AP4B1	ENST00000369569	10	0		0		6	1,2,4,5,8,10
AP4E1	ENST00000261842	21	0		0		8	1,2,7,9,14,18,19,21
AP4M1	ENST00000359593	15	0		0		0	
AP4S1	ENST00000542754	5	0		0		1	3
AP5Z1	ENST00000649063	17	0		0		3	3,10,12
APAF1	ENST00000551964	26	0		0		9	3,7,9,11,16,20,22,23,25
APBA2	ENST00000683413	12	4	7,8,10,13	12	4,5,6,7,8,9,10,11,12,13,14,15	12	4,5,6,7,8,9,10,11,12,13,14,15
APC	ENST00000257430	15	0		0		4	3,8,14,16
APC2	ENST00000590469	14	0		0		2	11,15
APCDD1	ENST00000355285	5	0		0		4	1,3,4,5
APCS	ENST00000255040	2	0		0		1	2
APEX1	ENST00000216714	4	0		0		1	5
APOA1	ENST00000236850	3	0		0		1	4
APOA2	ENST00000367990	3	0		0		0	
APOA4	ENST00000357780	3	0		0		1	3
APOA5	ENST00000227665	3	0		0		1	3
APOB	ENST00000233242	29	0		0		20	3,4,6,9,10,13,15,16,17,18,19,21,22,23,24,25,26,27,28,29
APOC2	ENST00000252490	3	0		0		0	
APOC3	ENST00000227667	3	0		0		0	
APOE	ENST00000252486	3	0		0		1	4
APOL1	ENST00000397278	5	0		0		1	6
APOL2	ENST00000358502	3	0		0		1	5
APOL4	ENST00000683024	4	0		0		2	1,4
APOLD1	ENST00000356591	2	0		0		2	1,2
APOO	ENST00000379226	8	0		2	1,8	8	1,2,3,4,5,6,7,8
APP	ENST00000346798	18	0		0		8	2,3,5,7,9,11,14,18
APPL1	ENST00000288266	22	0		0		7	3,4,12,14,15,17,20
APRT	ENST00000378364	5	0		0		1	3
APTX	ENST00000379817	7	0		0		3	2,4,6
AQP1	ENST00000311813	4	0		0		0	
AQP2	ENST00000199280	4	0		0		2	1,3
AQP3	ENST00000297991	6	0		0		0	
AQP4	ENST00000383168	5	0		0		3	2,3,4
AQP5	ENST00000293599	4	0		0		1	1
AQP7	ENST00000297988	7	0		0		3	4,7,8
AR	ENST00000374690	8	0		5	1,2,3,4,5	7	1,2,3,4,5,7,8
ARAF	ENST00000377045	15	0		2	5,9	15	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ARAP3	ENST00000239440	32	0		0		7	2,10,18,19,20,26,33
ARCN1	ENST00000264028	10	0		0		3	1,2,6
ARF1	ENST00000272102	4	0		0		0	
ARF3	ENST00000256682	4	0		0		1	2
ARFGEF1	ENST00000262215	39	0		0		15	6,9,10,11,14,16,20,23,24,26,28,30,35,36,39
ARFGEF2	ENST00000371917	39	0		0		18	1,2,4,8,11,12,15,19,20,26,27,28,30,31,34,36,37,39
ARFGEF3	ENST00000251691	34	0		0		17	1,8,10,11,12,13,14,17,18,19,20,21,24,26,27,31,33
ARG1	ENST00000368087	8	0		0		3	4,5,7
ARHGAP24	ENST00000395184	9	0		0		4	3,5,9,10
ARHGAP26	ENST00000645722	23	0		0		5	1,5,17,18,22
ARHGAP29	ENST00000260526	22	0		0		13	2,4,5,7,8,9,11,12,15,18,19,21,23
ARHGAP31	ENST00000264245	12	0		0		5	6,7,10,11,12
ARHGAP33	ENST00000007510	21	0		0		3	7,8,21
ARHGAP35	ENST00000672722	6	0		0		3	2,3,6
ARHGAP39	ENST00000377307	11	0		0		8	2,3,4,5,6,7,9,12
ARHGAP4	ENST00000350060	22	0		2	6,7	21	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22
ARHGAP42	ENST00000298815	24	0		0		12	3,4,5,6,8,12,13,14,17,20,22,23
ARHGDIA	ENST00000269321	5	0		0		0	
ARHGEF1	ENST00000354532	27	0		0		1	15
