gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons
AGPAT5	ENST00000285518	8	0		0		2	2,5
AGPS	ENST00000264167	20	0		1	1	1	1
AGR2	ENST00000419304	7	0		0		1	2
AGRN	ENST00000379370	36	1	1	2	1,5	5	1-2,4-5,18
AGRP	ENST00000290953	3	0		0		1	2
AGT	ENST00000366667	4	0		0		0	
AGTPBP1	ENST00000357081	25	0		2	11,14	10	6,10-11,14-15,17,19-20,23,26
AGTR1	ENST00000349243	1	0		0		0	
AGTR2	ENST00000371906	1	0		0		1	3
AGXT	ENST00000307503	11	0		0		1	2
AGXT2	ENST00000231420	14	0		0		0	
AHCY	ENST00000217426	10	0		0		0	
AHDC1	ENST00000673934	1	0		0		1	8
AHI1	ENST00000265602	26	1	7	4	7,10,12,21	12	7-10,12-15,17,19,21,25
AHNAK2	ENST00000333244	7	1	1	1	1	1	1
AHR	ENST00000242057	11	0		1	6	6	2-4,6,8,10
AHSG	ENST00000411641	7	0		0		2	4,7
AICDA	ENST00000229335	5	0		0		0	
AIFM1	ENST00000287295	16	0		0		0	
AIMP1	ENST00000672341	6	0		0		0	
AIMP2	ENST00000223029	4	0		1	1	2	1,4
AIP	ENST00000279146	6	0		0		0	
AIPL1	ENST00000381129	6	0		0		0	
AIRE	ENST00000291582	14	0		0		1	12
AJAP1	ENST00000378191	5	0		0		1	2
AK1	ENST00000644144	6	0		0		0	
AK2	ENST00000672715	6	0		0		0	
AK7	ENST00000267584	18	0		0		1	11
AK9	ENST00000424296	40	1	18	4	18,23,29,41	17	6,13,18-19,22-23,26-29,31-32,34,36,38,40-41
AKAP10	ENST00000225737	15	2	1,3	2	1,3	4	1,3-4,9
AKAP3	ENST00000228850	3	0		0		0	
AKAP6	ENST00000280979	12	0		0		7	2,5,7-8,10-12
AKAP9	ENST00000356239	50	0		0		3	17,31,33
AKNA	ENST00000374088	21	0		0		4	2-3,15,21
AKR1C2	ENST00000380753	9	0		0		1	2
AKR1C4	ENST00000263126	9	0		1	2	3	1-2,6
AKR1D1	ENST00000242375	9	0		0		0	
AKR1E2	ENST00000298375	10	1	1	1	1	1	1
AKT1	ENST00000649815	13	1	5	2	5,11	2	5,11
AKT2	ENST00000392038	13	0		0		0	
AKT3	ENST00000673466	13	1	11	11	3-13	12	3-14
ALAD	ENST00000409155	11	0		0		0	
ALAS2	ENST00000650242	10	0		0		2	9-10
ALB	ENST00000295897	14	0		0		0	
ALDH18A1	ENST00000371224	17	0		0		0	
ALDH1A2	ENST00000249750	13	0		0		0	
ALDH1A3	ENST00000329841	13	1	5	1	5	3	4-5,10
ALDH1B1	ENST00000377698	1	0		0		0	
ALDH1L2	ENST00000258494	23	0		0		4	1,4,13,21
ALDH2	ENST00000261733	13	0		1	10	2	5,10
ALDH3A2	ENST00000176643	10	0		0		0	
ALDH4A1	ENST00000375341	15	0		0		1	1
ALDH5A1	ENST00000357578	10	1	1	1	1	1	1
ALDH6A1	ENST00000553458	12	0		0		0	
ALDH7A1	ENST00000409134	18	0		0		0	
ALDOA	ENST00000642816	9	0		0		0	
ALDOB	ENST00000647789	8	0		0		0	
ALG1	ENST00000262374	13	0		0		0	
ALG10	ENST00000266483	3	0		0		0	
ALG10B	ENST00000308742	3	0		0		0	
ALG11	ENST00000521508	4	0		1	4	1	4
ALG12	ENST00000330817	9	0		0		0	
ALG13	ENST00000394780	27	2	24,26	6	10,18,23-24,26-27	23	2-5,7-20,22-24,26-27
ALG14	ENST00000370205	4	0		0		2	2,4
ALG2	ENST00000476832	2	0		0		1	2
ALG3	ENST00000397676	9	0		1	9	1	9
ALG5	ENST00000239891	10	0		0		1	8
ALG6	ENST00000263440	14	0		0		0	
ALG8	ENST00000299626	13	0		0		0	
ALG9	ENST00000616540	15	0		0		2	1,3
ALK	ENST00000389048	29	0		1	29	1	29
ALKBH8	ENST00000428149	11	0		0		4	2,4-5,12
ALMS1	ENST00000613296	23	0		0		1	5
ALOX12B	ENST00000647874	15	0		0		0	
ALOX15	ENST00000293761	14	0		0		0	
ALOX5	ENST00000374391	14	0		3	1,4,10	11	1-4,6-8,10-11,13-14
ALOX5AP	ENST00000380490	5	0		0		0	
ALOXE3	ENST00000448843	15	0		0		1	9
ALPI	ENST00000295463	11	0		0		0	
ALPK1	ENST00000650871	14	0		0		4	8,13-15
ALPK3	ENST00000258888	14	0		1	1	5	1,5-6,8,14
ALPL	ENST00000374840	11	0		0		0	
ALS2	ENST00000264276	33	0		0		1	4
ALX1	ENST00000316824	4	0		0		0	
ALX3	ENST00000647563	4	1	1	1	1	1	1
ALX4	ENST00000652299	4	0		0		0	
AMACR	ENST00000335606	5	0		0		1	3
AMBN	ENST00000322937	13	0		0		2	12-13
AMBRA1	ENST00000683756	17	1	18	1	18	3	4,13,18
AMELX	ENST00000380714	5	0		0		1	6
AMER1	ENST00000374869	1	0		0		0	
AMFR	ENST00000290649	14	1	1	1	1	3	1,3,9
AMH	ENST00000221496	5	0		2	1,5	3	1,4-5
AMHR2	ENST00000257863	11	0		0		0	
AMIGO2	ENST00000550413	1	0		0		1	3
AMMECR1	ENST00000262844	6	0		4	1-2,4-5	5	1-5
AMN	ENST00000299155	12	1	10	2	6,10	2	6,10
AMOTL1	ENST00000433060	13	0		0		5	2-3,7,9,12
AMPD1	ENST00000520113	16	0		0		1	10
AMPD2	ENST00000528667	18	1	14	1	14	1	14
AMPD3	ENST00000396553	14	0		0		0	
AMT	ENST00000273588	9	0		0		0	
AMTN	ENST00000339336	8	0		1	3	1	3
ANAPC1	ENST00000341068	47	0		1	15	2	15,19
ANAPC7	ENST00000455511	11	0		0		2	2,10
ANG	ENST00000397990	1	0		0		0	
ANGPT1	ENST00000517746	9	0		0		4	1,4,6,9
ANGPT2	ENST00000629816	9	0		1	4	3	1,4,7
ANGPTL3	ENST00000371129	7	0		1	1	1	1
ANGPTL4	ENST00000301455	7	0		0		0	
ANGPTL6	ENST00000253109	5	1	2	1	2	1	2
ANGPTL8	ENST00000252453	4	0		0		0	
ANK1	ENST00000289734	42	1	16	1	16	2	16,38
ANK2	ENST00000357077	46	0		0		0	
ANK3	ENST00000280772	43	1	5	4	5,25,32,42	10	5-6,9,19,25,27,30,32,40,42
ANKDD1B	ENST00000601380	14	4	1,12-14	5	1,10,12-14	7	1,3,9-10,12-14
ANKFY1	ENST00000341657	25	0		1	22	3	10,15,22
ANKH	ENST00000284268	12	0		0		0	
ANKLE2	ENST00000357997	13	1	1	2	1,8	4	1-2,8,11
ANKRD1	ENST00000371697	9	0		0		0	
ANKRD11	ENST00000301030	11	0		0		0	
ANKRD17	ENST00000358602	34	1	15	4	9-10,15,26	17	1-2,4,6,8-10,13,15,17-19,24,26,28,32-33
ANKRD24	ENST00000318934	21	1	18	1	18	3	10,18-19
ANKRD26	ENST00000376087	34	0		1	31	1	31
ANKRD31	ENST00000506364	26	2	15,25	4	7,14-15,25	13	7-8,10-12,14-15,18,21-23,25-26
ANKS1B	ENST00000683438	27	0		3	1,4,13	11	1,3-4,7-11,13,18-19
ANKS3	ENST00000304283	15	0		0		0	
ANKS6	ENST00000353234	15	1	1	1	1	4	1-2,9,12
ANKZF1	ENST00000323348	13	0		0		1	8
ANLN	ENST00000265748	24	0		1	6	10	2-4,6,8,11,13-14,20,23
ANO1	ENST00000355303	26	1	2	1	2	1	2
ANO10	ENST00000292246	12	0		0		0	
ANO3	ENST00000256737	27	0		1	23	10	2,4-5,8,11,15,22-24,26
ANO4	ENST00000392977	26	0		2	26-27	7	3,22-27
ANO5	ENST00000324559	22	0		0		0	
ANO6	ENST00000320560	20	0		0		0	
ANOS1	ENST00000262648	14	1	1	1	1	1	1
ANTXR1	ENST00000303714	18	0		0		1	18
ANTXR2	ENST00000403729	17	0		0		0	
ANXA11	ENST00000422982	14	0		0		2	4-5
ANXA5	ENST00000296511	12	0		1	2	2	2,5
AOPEP	ENST00000375315	15	1	12	1	12	2	2,12
AP1B1	ENST00000357586	22	0		0		1	14
AP1G1	ENST00000299980	22	0		0		3	5,9,15
AP1S1	ENST00000337619	5	0		0		1	2
AP1S2	ENST00000672987	5	0		0		1	5
AP1S3	ENST00000396654	5	1	1	1	1	3	1-2,4
AP2A2	ENST00000448903	22	3	12,17,21	18	2-14,16-19,21	22	1-22
AP2M1	ENST00000292807	11	0		0		0	
AP2S1	ENST00000263270	5	0		0		0	
AP3B1	ENST00000255194	27	0		0		1	16
AP3B2	ENST00000535359	27	0		1	1	2	1,8
AP3D1	ENST00000643116	32	0		1	23	2	17,23
AP4B1	ENST00000369569	10	0		0		1	5
AP4E1	ENST00000261842	21	0		1	19	3	1,6,19
AP4M1	ENST00000359593	15	0		0		0	
AP4S1	ENST00000542754	5	0		0		0	
AP5Z1	ENST00000649063	17	0		0		2	3,17
APAF1	ENST00000551964	26	0		0		0	
APBA2	ENST00000683413	12	0		0		2	7-8
APC	ENST00000257430	15	0		0		0	
APC2	ENST00000590469	14	1	15	1	15	2	13,15
APCDD1	ENST00000355285	5	0		0		0	
APCS	ENST00000255040	2	0		0		1	2
APEX1	ENST00000216714	4	0		0		0	
APOA1	ENST00000236850	3	0		0		0	
APOA2	ENST00000367990	3	0		0		0	
APOA4	ENST00000357780	3	0		0		0	
APOA5	ENST00000227665	3	0		0		0	
APOB	ENST00000233242	29	1	1	1	1	2	1,29
APOC2	ENST00000252490	3	0		0		0	
APOC3	ENST00000227667	3	0		0		0	
APOE	ENST00000252486	3	0		0		1	4
APOL1	ENST00000397278	5	0		0		0	
APOL2	ENST00000358502	3	0		0		0	
APOL4	ENST00000683024	4	0		1	4	1	4
APOLD1	ENST00000356591	2	1	2	1	2	1	2
APOO	ENST00000379226	8	0		0		3	2,4,7
APP	ENST00000346798	18	0		0		0	
APPL1	ENST00000288266	22	1	8	1	8	5	8,10-11,15,19
APRT	ENST00000378364	5	0		0		0	
APTX	ENST00000379817	7	0		0		0	
AQP1	ENST00000311813	4	0		0		0	
AQP2	ENST00000199280	4	0		0		0	
AQP3	ENST00000297991	6	0		0		0	
AQP4	ENST00000383168	5	0		0		0	
AQP5	ENST00000293599	4	0		0		1	1
AQP7	ENST00000297988	7	0		0		0	
AR	ENST00000374690	8	0		1	1	1	1
ARAF	ENST00000377045	15	1	2	2	2,7	4	2,7,9,11
ARAP3	ENST00000239440	32	0		2	17,33	4	13,17,19,33
ARCN1	ENST00000264028	10	0		0		2	2,5
ARF1	ENST00000272102	4	0		0		0	
ARF3	ENST00000256682	4	0		0		0	
ARFGEF1	ENST00000262215	39	1	21	4	12,18,21,38	20	3,5-8,10,12-13,15,18,20-22,25,27-29,31,34,38
ARFGEF2	ENST00000371917	39	0		0		1	6
ARFGEF3	ENST00000251691	34	1	19	2	19,33	5	10,12,19,33-34
ARG1	ENST00000368087	8	0		0		1	8
ARHGAP24	ENST00000395184	9	0		0		1	9
ARHGAP26	ENST00000645722	23	1	19	1	19	3	1,8,19
ARHGAP29	ENST00000260526	22	0		0		8	3,7,9,14,18,20-21,23
ARHGAP31	ENST00000264245	12	0		1	11	1	11
ARHGAP33	ENST00000007510	21	0		0		1	20
ARHGAP35	ENST00000672722	6	0		0		0	
ARHGAP39	ENST00000377307	11	1	2	1	2	5	2-3,5-6,10
ARHGAP4	ENST00000350060	22	1	22	1	22	4	5,12,19,22
ARHGAP42	ENST00000298815	24	0		1	20	9	2,5,8-10,15,18-20
ARHGDIA	ENST00000269321	5	0		1	3	2	2-3
ARHGEF1	ENST00000354532	27	1	13	1	13	3	7,9,13
ARHGEF10	ENST00000349830	28	0		0		4	3,11,25,29
ARHGEF15	ENST00000361926	15	0		2	4,12	3	3-4,12
ARHGEF18	ENST00000668164	28	9	2-10	10	2-10,27	12	2-10,21,26-27
ARHGEF2	ENST00000361247	22	0		1	20	1	20
ARHGEF28	ENST00000513042	35	0		0		10	5,11,13,22,24-25,27,29,35-36
ARHGEF38	ENST00000420470	14	0		4	2,4-6	11	1-2,4-7,9-12,14
ARHGEF40	ENST00000298694	23	0		3	1,3,10	5	1,3,10,15,22
ARHGEF6	ENST00000250617	22	0		1	1	2	1,10
ARHGEF9	ENST00000671741	10	0		0		2	3-4
ARID1A	ENST00000324856	20	1	1	3	1,15,18	6	1,8-9,14-15,18
ARID1B	ENST00000636930	20	2	1,6	4	1,6,14,18	10	1-2,5-8,13-15,18
ARID2	ENST00000334344	21	0		1	16	6	4,11,14,16-17,20
ARIH1	ENST00000379887	14	0		1	1	4	1,3,12-13
ARL11	ENST00000282026	1	0		0		0	
ARL13B	ENST00000394222	10	0		0		0	
ARL14EP	ENST00000282032	3	0		0		1	2
ARL2	ENST00000246747	5	0		0		0	
ARL2BP	ENST00000219204	6	1	3	1	3	1	3
ARL3	ENST00000260746	6	1	1	1	1	2	1,5
ARL6	ENST00000463745	7	0		0		0	
ARL6IP1	ENST00000304414	6	0		0		0	
ARL6IP6	ENST00000326446	4	0		1	1	1	1
ARMC12	ENST00000373866	6	0		1	6	2	4,6
ARMC2	ENST00000392644	17	0		0		4	8,10-11,13
ARMC5	ENST00000268314	6	0		1	4	1	4
ARMC9	ENST00000611582	24	2	17,25	2	17,25	4	8,17,22,25
ARMS2	ENST00000528446	2	0		0		0	
ARNT2	ENST00000303329	19	0		2	1,19	3	1,14,19
ARPC1B	ENST00000646101	9	0		0		1	8
ARPC3	ENST00000228825	7	0		0		0	
ARPC4	ENST00000397261	6	0		0		0	
ARPC5	ENST00000359856	4	0		0		1	3
ARPP21	ENST00000684406	19	0		0		3	11,14,18
ARR3	ENST00000307959	16	0		1	8	2	8-9
ARSA	ENST00000216124	8	0		0		0	
ARSB	ENST00000264914	8	0		1	1	1	1
ARSG	ENST00000621439	11	1	2	1	2	3	2,7,12
ARSI	ENST00000328668	2	0		1	1	1	1
ARSK	ENST00000380009	8	0		1	8	4	3-5,8
ARSL	ENST00000381134	10	0		0		1	11
ART4	ENST00000228936	3	0		1	2	2	2-3
ARV1	ENST00000310256	5	0		0		1	2
ARX	ENST00000379044	5	1	2	2	2,4	3	2,4-5
ASAH1	ENST00000637790	14	0		0		0	
ASB10	ENST00000420175	5	0		2	3,5	2	3,5
ASB17	ENST00000284142	3	0		1	2	3	1-3
ASCC1	ENST00000672957	9	0		0		0	
ASCC3	ENST00000369162	41	0		0		0	
ASCL1	ENST00000266744	1	0		1	1	1	1
ASH1L	ENST00000392403	27	1	8	3	6,8,13	10	2,5-6,8,13,16-17,19,24,27
ASIP	ENST00000374954	3	0		0		0	
ASL	ENST00000304874	16	0		0		0	
ASNS	ENST00000394308	11	1	12	1	12	3	4-5,12
ASPA	ENST00000263080	6	0		0		0	
ASPH	ENST00000379454	25	1	2	1	2	2	2,6
ASPM	ENST00000367409	28	0		0		1	23
ASPN	NM_017680.6	7	0		0		0	
ASPRV1	ENST00000320256	1	0		0		0	
ASPSCR1	ENST00000306739	16	1	1	3	1,7,15	3	1,7,15
ASRGL1	ENST00000415229	6	1	2	1	2	2	2,4
ASS1	ENST00000352480	14	0		0		0	
ASTE1	ENST00000264992	4	0		1	6	1	6
ASTL	ENST00000342380	9	0		1	9	1	9
ASTN1	ENST00000361833	23	0		0		4	2,13,21-22
ASTN2	ENST00000313400	23	1	1	2	1,3	6	1-3,6-7,19
ASXL1	ENST00000375687	13	0		0		1	1
ASXL2	ENST00000435504	13	0		1	11	4	7-8,11-12
ASXL3	ENST00000269197	12	0		0		5	1,6-8,10
ASZ1	ENST00000284629	13	0		0		2	12-13
ATAD1	ENST00000680024	9	0		0		3	2,6,9
ATAD2B	ENST00000238789	28	1	26	3	23,25-26	15	4-6,12,14,16-17,19-23,25-27
ATAD3A	ENST00000378756	16	1	1	1	1	1	1
ATAD3C	ENST00000378785	12	0		0		1	7
ATCAY	ENST00000450849	12	0		0		1	4
ATF6	ENST00000367942	16	0		0		4	5,8-9,14
ATG12	ENST00000509910	4	0		0		0	
ATG16L1	ENST00000392017	18	1	15	1	15	1	15
ATG4A	ENST00000372232	13	1	3	3	3,8,10	7	2-3,6,8,10-12
ATG4D	ENST00000309469	10	1	1	1	1	2	1,4
ATG5	ENST00000369076	7	0		0		2	3,5
ATG7	ENST00000693202	18	0		2	9,13	5	8-9,12-13,20
ATG9A	ENST00000361242	14	0		0		1	14
ATIC	ENST00000236959	16	0		0		0	
ATL1	ENST00000358385	14	0		0		2	13-14
ATL3	ENST00000398868	13	0		0		4	4,8-9,12
ATM	ENST00000675843	62	0		0		0	
ATN1	ENST00000396684	9	0		1	5	2	3,5
ATOH1	ENST00000306011	1	0		1	1	1	1
ATOH7	ENST00000373673	1	1	1	1	1	1	1
ATP11A	ENST00000375645	29	1	23	1	23	4	1,11,23,27
ATP11C	ENST00000682941	29	1	14	10	6,11,13-14,19-20,22,24-25,28	24	2-9,11-15,18-22,24-29
ATP13A1	ENST00000357324	26	0		1	1	2	1,8
ATP13A2	ENST00000326735	29	0		1	1	1	1
ATP13A3	ENST00000645319	32	0		0		8	5,11,14,16,22,29-31
ATP1A1	ENST00000295598	23	0		0		2	16,18
ATP1A2	ENST00000361216	23	0		0		0	
ATP1A3	ENST00000648268	23	0		0		0	
ATP1A4	ENST00000368081	22	0		0		2	6,14
ATP1B1	ENST00000367815	6	0		0		1	6
ATP2A1	ENST00000395503	22	0		0		0	
