gene	transcript	exon	coord	exon_len	median_cov	is_dead_10x	is_dead_20x	is_dead_30x	gene_cds_len	gene_dead_10x_pct	gene_dead_20x_pct	gene_dead_30x_pct
ABCB11	ENST00000650372	24	chr2:168932366-168932543	177	30.45	0	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	25	chr2:168930654-168930872	218	19.09	1	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	26	chr2:168927145-168927372	227	25.86	0	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	27	chr2:168924646-168924813	167	23.55	0	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	28	chr2:168923611-168923832	221	32.65	0	1	1	4506	4.8	41.6	51.4
ABCB5	ENST00000404938	6	chr7:20643173-20643385	212	53.78	0	0	1	4314	3.7	3.7	30.8
ABCB5	ENST00000404938	9	chr7:20645950-20646148	198	41.08	0	0	1	4314	3.7	3.7	30.8
ABCB5	ENST00000404938	14	chr7:20658495-20658686	191	51.84	0	0	1	4314	3.7	3.7	30.8
ABCB5	ENST00000404938	15	chr7:20681494-20681676	182	46.20	0	0	1	4314	3.7	3.7	30.8
ABCB5	ENST00000404938	16	chr7:20685685-20685846	161	6.46	1	1	1	4314	3.7	3.7	30.8
ABCB5	ENST00000404938	27	chr7:20753349-20753516	167	46.16	0	0	1	4314	3.7	3.7	30.8
ABCB5	ENST00000404938	28	chr7:20755416-20755634	218	50.96	0	0	1	4314	3.7	3.7	30.8
ABCB6	ENST00000265316	1	chr2:219218114-219218683	569	65.76	0	0	1	2909	0.0	0.0	26.6
ABCB6	ENST00000265316	5	chr2:219215986-219216190	204	44.34	0	0	1	2909	0.0	0.0	26.6
ABCB7	ENST00000373394	13	chrX:75065059-75065251	192	37.53	0	0	1	2579	0.0	0.0	7.4
ABCB9	ENST00000280560	2	chr12:122959624-122960245	621	79.48	0	0	1	2521	0.0	0.0	32.9
ABCB9	ENST00000280560	8	chr12:122940796-122941005	209	38.37	0	0	1	2521	0.0	0.0	32.9
ABCC1	ENST00000399410	1	chr16:15949741-15949809	68	0.95	1	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	2	chr16:16007805-16008002	197	27.70	0	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	3	chr16:16009765-16009911	146	29.82	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	4	chr16:16014480-16014638	158	30.62	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	5	chr16:16016485-16016631	146	27.18	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	7	chr16:16036461-16036613	152	29.41	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	8	chr16:16044439-16044690	251	28.34	0	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	9	chr16:16045825-16046023	198	33.73	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	10	chr16:16048131-16048313	182	35.12	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	12	chr16:16056081-16056305	224	41.56	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	13	chr16:16068145-16068312	167	12.30	1	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	15	chr16:16076315-16076411	96	32.99	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	16	chr16:16079341-16079488	147	33.30	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	17	chr16:16083355-16083552	197	20.00	0	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	18	chr16:16086813-16087001	188	31.96	0	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	19	chr16:16090394-16090598	204	19.34	1	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	20	chr16:16102616-16102727	111	36.14	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	21	chr16:16106727-16106883	156	14.54	1	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	22	chr16:16111364-16111592	228	25.07	1	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	23	chr16:16114755-16115086	331	40.72	0	1	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	24	chr16:16121964-16122184	220	36.95	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	25	chr16:16124778-16124925	147	36.30	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	26	chr16:16125799-16125921	122	27.38	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	27	chr16:16131778-16131945	167	34.95	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	29	chr16:16136467-16136654	187	35.98	0	0	1	5216	15.8	42.2	88.3
ABCC1	ENST00000399410	30	chr16:16138353-16138568	215	26.67	0	1	1	5216	15.8	42.2	88.3
ABCC11	ENST00000356608	3	chr16:48230426-48230583	157	3.15	1	1	1	4729	3.3	3.3	18.5
ABCC11	ENST00000356608	11	chr16:48210937-48211209	272	59.91	0	0	1	4729	3.3	3.3	18.5
ABCC11	ENST00000356608	12	chr16:48208414-48208506	92	26.74	0	0	1	4729	3.3	3.3	18.5
ABCC11	ENST00000356608	13	chr16:48205402-48205547	145	37.32	0	0	1	4729	3.3	3.3	18.5
ABCC11	ENST00000356608	25	chr16:48176913-48177123	210	44.04	0	0	1	4729	3.3	3.3	18.5
ABCC12	ENST00000311303	7	chr16:48139152-48139346	194	41.32	0	0	1	4660	0.0	0.0	23.8
ABCC12	ENST00000311303	11	chr16:48128448-48128747	299	71.98	0	0	1	4660	0.0	0.0	23.8
ABCC12	ENST00000311303	15	chr16:48115404-48115628	224	45.81	0	0	1	4660	0.0	0.0	23.8
ABCC12	ENST00000311303	26	chr16:48088534-48088744	210	46.22	0	0	1	4660	0.0	0.0	23.8
ABCC12	ENST00000311303	27	chr16:48087915-48088095	180	46.49	0	0	1	4660	0.0	0.0	23.8
ABCC4	ENST00000645237	6	chr13:95209423-95209607	184	42.18	0	0	1	4598	0.0	9.2	24.1
ABCC4	ENST00000645237	11	chr13:95186690-95186902	212	36.00	0	1	1	4598	0.0	9.2	24.1
ABCC4	ENST00000645237	16	chr13:95164367-95164528	161	39.90	0	0	1	4598	0.0	9.2	24.1
ABCC4	ENST00000645237	19	chr13:95161178-95161345	167	44.24	0	0	1	4598	0.0	9.2	24.1
ABCC4	ENST00000645237	21	chr13:95083129-95083300	171	48.88	0	0	1	4598	0.0	9.2	24.1
ABCC4	ENST00000645237	25	chr13:95071651-95071863	212	33.41	0	1	1	4598	0.0	9.2	24.1
ABCC6	ENST00000205557	10	chr16:16198010-16198192	182	41.18	0	0	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	11	chr16:16192819-16192932	113	31.62	0	0	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	12	chr16:16190153-16190377	224	37.11	0	1	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	18	chr16:16178787-16178975	188	20.89	1	1	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	19	chr16:16177441-16177636	195	10.04	1	1	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	21	chr16:16173273-16173414	141	38.41	0	0	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	25	chr16:16161427-16161574	147	45.85	0	0	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	26	chr16:16159471-16159593	122	33.87	0	1	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	27	chr16:16157652-16157819	167	49.62	0	0	1	5132	7.5	14.2	33.0
ABCC6	ENST00000205557	30	chr16:16150567-16150782	215	48.02	0	0	1	5132	7.5	14.2	33.0
ABCC9	ENST00000261200	29	chr12:21842303-21842481	178	36.58	0	1	1	5410	0.0	3.3	3.3
ABCD4	ENST00000356924	1	chr14:74302864-74302922	58	25.02	0	0	1	2201	0.0	0.0	2.6
ABCG2	ENST00000237612	6	chr4:88121624-88121802	178	38.79	0	0	1	2268	0.0	0.0	33.6
ABCG2	ENST00000237612	9	chr4:88113292-88113563	271	61.59	0	0	1	2268	0.0	0.0	33.6
ABCG2	ENST00000237612	12	chr4:88099313-88099458	145	36.31	0	0	1	2268	0.0	0.0	33.6
ABCG2	ENST00000237612	16	chr4:88092223-88092391	168	40.64	0	0	1	2268	0.0	0.0	33.6
ABHD12	ENST00000339157	1	chr20:25390502-25390713	211	18.28	0	1	1	1457	0.0	14.5	14.5
ABHD16A	ENST00000395952	1	chr6:31703139-31703291	152	2.75	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	2	chr6:31702063-31702140	77	8.47	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	3	chr6:31701263-31701350	87	10.48	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	4	chr6:31700931-31701038	107	12.57	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	5	chr6:31696937-31697043	106	8.29	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	6	chr6:31693348-31693442	94	12.78	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	7	chr6:31693016-31693159	143	11.94	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	8	chr6:31691793-31691928	135	7.26	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	9	chr6:31691568-31691690	122	15.37	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	10	chr6:31690528-31690612	84	10.90	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	11	chr6:31690067-31690137	70	5.46	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	12	chr6:31689570-31689714	144	0.00	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	13	chr6:31689004-31689129	125	8.12	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	14	chr6:31688712-31688796	84	12.44	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	15	chr6:31688238-31688315	77	13.21	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	16	chr6:31688030-31688113	83	8.56	1	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	17	chr6:31687813-31687910	97	12.54	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	18	chr6:31687631-31687750	119	14.48	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	19	chr6:31687487-31687554	67	18.07	0	1	1	2077	58.1	100.0	100.0
ABHD16A	ENST00000395952	20	chr6:31687201-31687305	104	12.86	0	1	1	2077	58.1	100.0	100.0
ABHD2	ENST00000352732	6	chr15:89175801-89176005	204	60.92	0	0	1	1458	0.0	0.0	28.9
ABHD2	ENST00000352732	11	chr15:89195216-89195433	217	50.11	0	0	1	1458	0.0	0.0	28.9
ABI2	ENST00000261018	1	chr2:203328504-203328641	137	46.59	0	0	1	1869	0.0	30.5	69.2
ABI2	ENST00000261018	2	chr2:203366866-203367054	188	43.83	0	1	1	1869	0.0	30.5	69.2
ABI2	ENST00000261018	3	chr2:203380197-203380394	197	41.66	0	0	1	1869	0.0	30.5	69.2
ABI2	ENST00000261018	8	chr2:203396774-203396977	203	31.43	0	1	1	1869	0.0	30.5	69.2
ABI2	ENST00000261018	9	chr2:203402565-203402744	179	22.93	0	1	1	1869	0.0	30.5	69.2
ABI2	ENST00000261018	11	chr2:203416897-203417091	194	44.70	0	0	1	1869	0.0	30.5	69.2
ABI2	ENST00000261018	12	chr2:203427166-203427362	196	42.14	0	0	1	1869	0.0	30.5	69.2
ABL1	ENST00000318560	2	chr9:130854053-130854247	194	51.80	0	0	1	3613	8.1	56.1	70.2
ABL1	ENST00000318560	3	chr9:130854790-130855106	316	63.40	0	0	1	3613	8.1	56.1	70.2
ABL1	ENST00000318560	4	chr9:130862752-130863045	293	28.93	1	1	1	3613	8.1	56.1	70.2
ABL1	ENST00000318560	11	chr9:130883958-130885693	1735	58.34	0	1	1	3613	8.1	56.1	70.2
ABL2	ENST00000502732	4	chr1:179126366-179126682	316	69.47	0	0	1	3789	0.0	7.7	25.9
ABL2	ENST00000502732	5	chr1:179121584-179121877	293	49.41	0	1	1	3789	0.0	7.7	25.9
ABL2	ENST00000502732	7	chr1:179118576-179118774	198	50.81	0	0	1	3789	0.0	7.7	25.9
ABL2	ENST00000502732	9	chr1:179114867-179115040	173	37.10	0	0	1	3789	0.0	7.7	25.9
ABRAXAS1	ENST00000321945	5	chr4:83470192-83470406	214	46.79	0	0	1	1410	0.0	32.2	57.3
ABRAXAS1	ENST00000321945	6	chr4:83469021-83469161	140	43.26	0	0	1	1410	0.0	32.2	57.3
ABRAXAS1	ENST00000321945	9	chr4:83462458-83462912	454	47.73	0	1	1	1410	0.0	32.2	57.3
ACACA	ENST00000616317	1	chr17:37406251-37406309	58	24.12	0	1	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	2	chr17:37339793-37339860	67	15.04	0	1	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	11	chr17:37263674-37263904	230	37.88	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	13	chr17:37258201-37258383	182	35.05	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	15	chr17:37252875-37253046	171	35.03	0	1	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	27	chr17:37224981-37225115	134	32.68	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	30	chr17:37210456-37210500	44	30.45	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	34	chr17:37200416-37200493	77	26.96	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	35	chr17:37200128-37200193	65	27.23	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	36	chr17:37193363-37193425	62	25.62	0	0	1	8272	0.0	3.6	14.9
ACACA	ENST00000616317	44	chr17:37151290-37151431	141	36.23	0	0	1	8272	0.0	3.6	14.9
ACACB	ENST00000338432	2	chr12:109139395-109140068	673	60.95	0	0	1	8417	2.2	2.2	17.2
ACACB	ENST00000338432	13	chr12:109187988-109188172	184	3.15	1	1	1	8417	2.2	2.2	17.2
ACACB	ENST00000338432	18	chr12:109199391-109199562	171	40.45	0	0	1	8417	2.2	2.2	17.2
ACACB	ENST00000338432	41	chr12:109249973-109250114	141	38.51	0	0	1	8417	2.2	2.2	17.2
ACACB	ENST00000338432	42	chr12:109252035-109252166	131	32.51	0	0	1	8417	2.2	2.2	17.2
ACACB	ENST00000338432	53	chr12:109266225-109266372	147	35.91	0	0	1	8417	2.2	2.2	17.2
