gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons	cds_len	dead_10x_len	dead_10x_pct	dead_20x_len	dead_20x_pct	dead_30x_len	dead_30x_pct
ABCA2	ENST00000341511	49	1	1	1	1	3	1,30,31	8291	86	1.0	86	1.0	657	7.9
ABCA3	ENST00000301732	30	0		0		0		5715	0	0.0	0	0.0	0	0.0
ABCA4	ENST00000370225	50	0		0		0		7822	0	0.0	0	0.0	0	0.0
ABCA5	ENST00000392676	38	1	8	3	8,9,24	16	2,3,6,8,9,10,12,13,15,22,24,26,27,28,29,32	5689	209	3.7	568	10.0	2703	47.5
ABCA6	ENST00000284425	38	0		3	4,8,9	14	3,4,6,8,9,10,13,17,20,22,23,30,31,35	5614	0	0.0	553	9.9	2433	43.3
ABCA7	ENST00000263094	46	2	22,42	2	22,42	7	5,6,7,13,22,37,42	7361	367	5.0	367	5.0	1045	14.2
ABCB1	ENST00000622132	27	0		0		0		4383	0	0.0	0	0.0	0	0.0
ABCB11	ENST00000650372	27	1	25	9	10,19,22,23,24,25,26,27,28	11	5,10,19,21,22,23,24,25,26,27,28	4506	218	4.8	1876	41.6	2317	51.4
ABCB4	ENST00000649586	27	0		0		0		4380	0	0.0	0	0.0	0	0.0
ABCB5	ENST00000404938	27	1	16	1	16	7	6,9,14,15,16,27,28	4314	161	3.7	161	3.7	1329	30.8
ABCB6	ENST00000265316	19	0		0		2	1,5	2909	0	0.0	0	0.0	773	26.6
ABCB7	ENST00000373394	16	0		0		1	13	2579	0	0.0	0	0.0	192	7.4
ABCB9	ENST00000280560	11	0		0		2	2,8	2521	0	0.0	0	0.0	830	32.9
ABCC1	ENST00000399410	31	5	1,13,19,21,22	11	1,2,8,13,17,18,19,21,22,23,30	26	1,2,3,4,5,7,8,9,10,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30	5216	823	15.8	2202	42.2	4605	88.3
ABCC11	ENST00000356608	29	1	3	1	3	5	3,11,12,13,25	4729	157	3.3	157	3.3	876	18.5
ABCC12	ENST00000311303	29	0		0		5	7,11,15,26,27	4660	0	0.0	0	0.0	1107	23.8
ABCC2	ENST00000647814	32	0		0		0		5278	0	0.0	0	0.0	0	0.0
ABCC4	ENST00000645237	31	0		2	11,25	6	6,11,16,19,21,25	4598	0	0.0	424	9.2	1107	24.1
ABCC6	ENST00000205557	31	2	18,19	4	12,18,19,26	10	10,11,12,18,19,21,25,26,27,30	5132	383	7.5	729	14.2	1694	33.0
ABCC8	ENST00000302539	39	0		0		0		5529	0	0.0	0	0.0	0	0.0
ABCC8	ENST00000389817	39	0		0		0		5526	0	0.0	0	0.0	0	0.0
ABCC9	ENST00000261200	38	0		1	29	1	29	5410	0	0.0	178	3.3	178	3.3
ABCD1	ENST00000218104	10	0		0		0		2438	0	0.0	0	0.0	0	0.0
ABCD3	ENST00000370214	23	0		0		0		2440	0	0.0	0	0.0	0	0.0
ABCD4	ENST00000356924	19	0		0		1	1	2201	0	0.0	0	0.0	58	2.6
ABCG2	ENST00000237612	15	0		0		4	6,9,12,16	2268	0	0.0	0	0.0	762	33.6
ABCG5	ENST00000405322	13	0		0		0		2216	0	0.0	0	0.0	0	0.0
ABCG8	ENST00000272286	13	0		0		0		2282	0	0.0	0	0.0	0	0.0
ABHD12	ENST00000339157	13	0		1	1	1	1	1457	0	0.0	211	14.5	211	14.5
ABHD16A	ENST00000395952	20	11	1,2,3,5,7,8,10,11,12,13,16	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	2077	1206	58.1	2077	100.0	2077	100.0
ABHD2	ENST00000352732	9	0		0		2	6,11	1458	0	0.0	0	0.0	421	28.9
ABHD5	ENST00000644371	7	0		0		0		1190	0	0.0	0	0.0	0	0.0
ABI2	ENST00000261018	12	0		3	2,8,9	7	1,2,3,8,9,11,12	1869	0	0.0	570	30.5	1294	69.2
ABL1	ENST00000318560	11	1	4	2	4,11	4	2,3,4,11	3613	293	8.1	2028	56.1	2538	70.2
ABL2	ENST00000502732	12	0		1	5	4	4,5,7,9	3789	0	0.0	293	7.7	980	25.9
ABRAXAS1	ENST00000321945	9	0		1	9	3	5,6,9	1410	0	0.0	454	32.2	808	57.3
ACAA1	ENST00000333167	12	0		0		0		1515	0	0.0	0	0.0	0	0.0
ACACA	ENST00000616317	56	0		3	1,2,15	11	1,2,11,13,15,27,30,34,35,36,44	8272	0	0.0	296	3.6	1231	14.9
ACACB	ENST00000338432	52	1	13	1	13	6	2,13,18,41,42,53	8417	184	2.2	184	2.2	1447	17.2
ACAD8	ENST00000281182	11	0		0		0		1468	0	0.0	0	0.0	0	0.0
ACAD9	ENST00000308982	18	0		0		0		2226	0	0.0	0	0.0	0	0.0
ACADL	ENST00000233710	11	0		0		0		1513	0	0.0	0	0.0	0	0.0
ACADM	ENST00000370841	12	0		0		0		1506	0	0.0	0	0.0	0	0.0
ACADS	ENST00000242592	10	0		0		0		1439	0	0.0	0	0.0	0	0.0
ACADSB	ENST00000358776	11	0		0		0		1519	0	0.0	0	0.0	0	0.0
ACADVL	ENST00000356839	20	0		0		0		2368	0	0.0	0	0.0	0	0.0
ACAN	ENST00000560601	18	1	7	2	3,7	3	3,6,7	8067	398	4.9	802	9.9	1116	13.8
ACAP3	ENST00000354700	24	1	1	1	1	2	1,24	2985	67	2.2	67	2.2	232	7.8
ACAT1	ENST00000265838	12	0		0		0		1524	0	0.0	0	0.0	0	0.0
ACAT2	ENST00000367048	9	0		0		1	9	1374	0	0.0	0	0.0	191	13.9
ACBD5	ENST00000396271	13	0		0		0		1838	0	0.0	0	0.0	0	0.0
ACBD6	ENST00000367595	8	0		0		0		1009	0	0.0	0	0.0	0	0.0
ACCS	ENST00000263776	14	1	15	1	15	3	2,9,15	1786	118	6.6	118	6.6	547	30.6
ACD	ENST00000620761	12	0		0		1	9	1617	0	0.0	0	0.0	107	6.6
ACE	ENST00000290866	25	1	1	1	1	1	1	4421	269	6.1	269	6.1	269	6.1
ACER2	ENST00000340967	6	1	5	1	5	2	4,5	948	158	16.7	158	16.7	316	33.3
ACER3	ENST00000532485	11	0		0		3	1,2,7	1024	0	0.0	0	0.0	333	32.5
ACHE	ENST00000241069	4	0		2	3,4	2	3,4	1925	0	0.0	695	36.1	695	36.1
ACKR1	ENST00000368122	2	0		0		0		1051	0	0.0	0	0.0	0	0.0
ACKR3	ENST00000272928	1	0		0		0		1109	0	0.0	0	0.0	0	0.0
ACLY	ENST00000352035	28	0		1	16	4	12,14,16,22	3866	0	0.0	189	4.9	528	13.7
ACMSD	ENST00000356140	10	0		0		0		1211	0	0.0	0	0.0	0	0.0
ACO1	ENST00000309951	20	1	5	1	5	5	3,5,6,14,20	3070	90	2.9	90	2.9	866	28.2
ACO2	ENST00000216254	18	0		0		3	3,4,5	2703	0	0.0	0	0.0	571	21.1
ACOT7	ENST00000361521	9	0		1	1	1	1	1293	0	0.0	163	12.6	163	12.6
ACOX1	ENST00000293217	14	0		0		0		2263	0	0.0	0	0.0	0	0.0
ACOX2	ENST00000302819	14	0		2	7,9	3	7,9,10	2326	0	0.0	319	13.7	530	22.8
ACP2	ENST00000672073	11	0		0		0		1492	0	0.0	0	0.0	0	0.0
ACP4	ENST00000270593	11	1	5	1	5	2	5,10	1501	119	7.9	119	7.9	318	21.2
ACP5	ENST00000648477	4	0		0		0		1058	0	0.0	0	0.0	0	0.0
ACR	ENST00000216139	5	0		1	5	1	5	1366	0	0.0	575	42.1	575	42.1
ACSF3	ENST00000614302	9	0		0		0		1911	0	0.0	0	0.0	0	0.0
ACSL4	ENST00000672401	14	0		0		1	5	2293	0	0.0	0	0.0	130	5.7
ACSL5	ENST00000354655	20	0		0		2	7,18	2452	0	0.0	0	0.0	363	14.8
ACSL6	ENST00000651883	21	1	4	1	4	1	4	2589	85	3.3	85	3.3	85	3.3
ACSM2A	ENST00000573854	13	0		0		0		1994	0	0.0	0	0.0	0	0.0
ACSM3	ENST00000289416	13	1	11	1	11	1	11	2021	148	7.3	148	7.3	148	7.3
ACSM5	ENST00000331849	13	0		0		0		2000	0	0.0	0	0.0	0	0.0
ACTA1	ENST00000366684	6	0		0		0		1254	0	0.0	0	0.0	0	0.0
ACTA2	ENST00000224784	8	0		0		1	8	1294	0	0.0	0	0.0	202	15.6
ACTB	ENST00000646664	5	0		0		0		1228	0	0.0	0	0.0	0	0.0
ACTC1	ENST00000290378	6	0		0		0		1254	0	0.0	0	0.0	0	0.0
ACTG1	ENST00000573283	5	0		0		0		1228	0	0.0	0	0.0	0	0.0
ACTG2	ENST00000345517	8	0		0		0		1291	0	0.0	0	0.0	0	0.0
ACTL6A	ENST00000429709	14	0		0		2	3,12	1570	0	0.0	0	0.0	311	19.8
ACTL6B	ENST00000160382	14	1	1	2	1,2	2	1,2	1561	45	2.9	142	9.1	142	9.1
ACTL7A	ENST00000333999	1	0		0		0		1328	0	0.0	0	0.0	0	0.0
ACTL9	ENST00000324436	1	0		0		1	1	1271	0	0.0	0	0.0	1271	100.0
ACTN1	ENST00000394419	22	0		2	20,22	2	20,22	3185	0	0.0	265	8.3	265	8.3
ACTN2	ENST00000366578	21	0		0		1	1	3105	0	0.0	0	0.0	146	4.7
ACTN3	ENST00000513398	21	0		0		2	1,10	3126	0	0.0	0	0.0	418	13.4
ACTN4	ENST00000252699	21	0		0		0		3156	0	0.0	0	0.0	0	0.0
ACVR1	ENST00000434821	9	0		0		0		1710	0	0.0	0	0.0	0	0.0
ACVR1B	ENST00000257963	9	1	1	1	1	3	1,4,7	1698	111	6.5	111	6.5	507	29.9
ACVR2B	ENST00000352511	11	1	1	1	1	1	1	1759	72	4.1	72	4.1	72	4.1
ACVRL1	ENST00000388922	9	0		0		0		1692	0	0.0	0	0.0	0	0.0
ACY1	ENST00000636358	14	0		0		0		1507	0	0.0	0	0.0	0	0.0
ACY3	ENST00000255082	6	0		0		0		1080	0	0.0	0	0.0	0	0.0
ADA	ENST00000372874	12	0		0		0		1332	0	0.0	0	0.0	0	0.0
ADA2	ENST00000399837	9	0		0		0		1716	0	0.0	0	0.0	0	0.0
ADAM10	ENST00000260408	16	0		0		0		2567	0	0.0	0	0.0	0	0.0
ADAM17	ENST00000310823	19	2	7,10	2	7,10	6	2,4,5,7,9,10	2855	219	7.7	219	7.7	835	29.2
ADAM20	ENST00000256389	1	0		0		0		2201	0	0.0	0	0.0	0	0.0
ADAM21	ENST00000603540	1	0		0		0		2189	0	0.0	0	0.0	0	0.0
ADAM22	ENST00000413139	32	0		0		5	15,21,24,26,27	3535	0	0.0	0	0.0	634	17.9
ADAM9	ENST00000487273	22	0		0		0		2900	0	0.0	0	0.0	0	0.0
ADAMTS1	ENST00000284984	9	0		1	1	4	1,2,6,8	3084	0	0.0	750	24.3	1520	49.3
ADAMTS10	ENST00000597188	24	0		1	24	1	24	3792	0	0.0	197	5.2	197	5.2
ADAMTS13	ENST00000355699	29	1	7	1	7	1	7	4696	158	3.4	158	3.4	158	3.4
ADAMTS15	ENST00000299164	8	0		1	5	4	1,4,5,8	3013	0	0.0	198	6.6	2274	75.5
ADAMTS16	ENST00000274181	23	0		0		6	3,4,10,13,19,22	4135	0	0.0	0	0.0	1385	33.5
ADAMTS17	ENST00000268070	22	1	2	1	2	1	2	3728	391	10.5	391	10.5	391	10.5
ADAMTS18	ENST00000282849	23	0		0		1	1	4126	0	0.0	0	0.0	110	2.7
ADAMTS19	ENST00000274487	23	2	2,22	3	2,3,22	11	2,3,4,8,9,11,15,17,19,21,22	4102	874	21.3	1060	25.8	2310	56.3
ADAMTS2	ENST00000251582	22	1	1	1	1	1	1	4076	159	3.9	159	3.9	159	3.9
ADAMTS3	ENST00000286657	22	0		1	4	9	3,4,8,10,11,12,14,18,22	4058	0	0.0	177	4.4	2112	52.0
ADAMTS4	ENST00000367996	9	2	3,7	5	3,5,6,7,9	6	1,3,5,6,7,9	2694	349	13.0	1310	48.6	1963	72.9
ADAMTS6	ENST00000381055	24	2	13,17	2	13,17	9	4,11,13,17,19,20,21,23,24	3834	310	8.1	310	8.1	1528	39.9
ADAMTS7	ENST00000388820	24	1	1	2	1,20	3	1,20,22	5541	120	2.2	293	5.3	460	8.3
ADAMTS9	ENST00000498707	39	2	16,17	2	16,17	12	3,4,5,13,16,17,18,19,21,26,28,32	6588	303	4.6	303	4.6	2286	34.7
ADAMTSL2	ENST00000651351	18	0		0		1	10	3216	0	0.0	0	0.0	357	11.1
ADAMTSL4	ENST00000271643	17	0		0		0		3565	0	0.0	0	0.0	0	0.0
ADAMTSL5	ENST00000330475	11	0		1	2	2	2,12	1636	0	0.0	119	7.3	441	27.0
ADAR	ENST00000368474	15	0		0		0		3981	0	0.0	0	0.0	0	0.0
ADARB1	ENST00000348831	9	1	8	1	8	2	8,11	2286	189	8.3	189	8.3	389	17.0
ADAT3	ENST00000329478	1	0		0		1	2	1124	0	0.0	0	0.0	1124	100.0
ADCK1	ENST00000238561	10	0		0		1	5	1772	0	0.0	0	0.0	179	10.1
ADCK2	ENST00000072869	8	0		0		0		2041	0	0.0	0	0.0	0	0.0
ADCK5	ENST00000308860	15	0		1	1	5	1,3,8,9,12	2043	0	0.0	32	1.6	570	27.9
ADCY1	ENST00000297323	20	1	1	1	1	3	1,13,16	3760	659	17.5	659	17.5	1100	29.3
ADCY10	ENST00000367851	32	0		0		0		5473	0	0.0	0	0.0	0	0.0
ADCY2	ENST00000338316	25	0		1	1	2	1,9	3776	0	0.0	230	6.1	383	10.1
ADCY3	ENST00000679454	21	2	20,22	2	20,22	2	20,22	3855	347	9.0	347	9.0	347	9.0
ADCY5	ENST00000462833	21	1	1	1	1	3	1,5,17	4206	1154	27.4	1154	27.4	1455	34.6
ADCY6	ENST00000357869	21	0		1	6	2	6,19	3927	0	0.0	148	3.8	432	11.0
ADCY7	ENST00000673801	25	0		1	11	2	9,11	3743	0	0.0	212	5.7	391	10.4
ADCYAP1R1	ENST00000304166	15	0		0		0		1707	0	0.0	0	0.0	0	0.0
ADD1	ENST00000683351	15	0		1	2	3	2,7,9	2700	0	0.0	215	8.0	576	21.3
ADD3	ENST00000356080	14	0		1	2	6	2,4,5,6,9,15	2401	0	0.0	215	9.0	1174	48.9
ADGRA3	ENST00000334304	19	2	1,15	2	1,15	10	1,5,6,8,10,11,12,15,17,19	4346	422	9.7	422	9.7	2891	66.5
ADGRE2	ENST00000315576	20	0		0		1	16	2872	0	0.0	0	0.0	256	8.9
ADGRF4	ENST00000283303	8	0		1	5	2	4,5	2248	0	0.0	272	12.1	444	19.8
ADGRG1	ENST00000562631	13	0		0		0		2324	0	0.0	0	0.0	0	0.0
ADGRG2	ENST00000379869	27	0		4	5,23,24,26	15	4,5,7,13,16,17,18,19,21,23,24,26,27,28,29	3594	0	0.0	803	22.3	2475	68.9
ADGRG4	ENST00000394143	23	2	17,23	7	5,7,11,17,21,23,25	17	5,6,7,10,11,12,13,14,15,16,17,19,20,21,23,24,25	9703	444	4.6	1855	19.1	9245	95.3
ADGRG6	ENST00000367609	25	2	4,9	6	4,9,13,16,22,25	15	3,4,6,9,10,13,14,15,16,19,20,22,23,24,25	4253	727	17.1	1601	37.6	3315	77.9
ADGRL1	ENST00000361434	22	0		0		1	20	4850	0	0.0	0	0.0	117	2.4
ADGRV1	ENST00000405460	90	6	2,7,21,78,88,90	31	2,7,9,14,17,18,19,21,23,29,33,34,43,44,49,51,54,56,57,63,64,68,69,70,72,77,78,80,82,88,90	66	2,3,4,5,6,7,9,10,11,13,14,17,18,19,21,22,23,24,27,28,29,30,33,34,37,38,41,42,43,44,45,47,49,51,52,53,54,55,56,57,59,60,62,63,64,65,67,68,69,70,72,73,74,77,78,80,81,82,83,84,85,86,87,88,89,90	20721	1964	9.5	8655	41.8	16233	78.3
ADH1B	ENST00000305046	9	0		1	2	4	2,4,7,8	1308	0	0.0	122	9.3	545	41.7
ADH1C	ENST00000515683	9	0		1	2	5	2,4,6,7,8	1308	0	0.0	122	9.3	826	63.1
ADH5	ENST00000296412	9	0		0		2	1,8	1305	0	0.0	0	0.0	191	14.6
ADIPOQ	ENST00000320741	2	1	3	1	3	1	3	775	541	69.8	541	69.8	541	69.8
ADIPOR1	ENST00000340990	7	0		0		2	6,8	1268	0	0.0	0	0.0	357	28.2
ADK	ENST00000539909	11	0		0		0		1309	0	0.0	0	0.0	0	0.0
ADNP	ENST00000621696	3	0		0		0		3369	0	0.0	0	0.0	0	0.0
ADORA2A	ENST00000337539	2	0		1	3	1	3	1279	0	0.0	927	72.5	927	72.5
ADPRM	ENST00000379774	3	0		1	4	2	2,4	1089	0	0.0	331	30.4	952	87.4
ADPRS	ENST00000373178	6	0		0		1	6	1212	0	0.0	0	0.0	310	25.6
ADRA1B	ENST00000306675	2	1	2	1	2	1	2	1603	634	39.6	634	39.6	634	39.6
ADRA2A	ENST00000280155	1	1	1	1	1	1	1	1418	1418	100.0	1418	100.0	1418	100.0
ADRA2B	ENST00000620793	1	0		0		0		1373	0	0.0	0	0.0	0	0.0
ADRA2C	ENST00000330055	1	1	1	1	1	1	1	1409	1409	100.0	1409	100.0	1409	100.0
ADRB1	ENST00000369295	1	1	1	1	1	1	1	1454	1454	100.0	1454	100.0	1454	100.0
ADRB2	ENST00000305988	1	0		0		0		1262	0	0.0	0	0.0	0	0.0
ADRB3	ENST00000345060	2	0		0		0		1267	0	0.0	0	0.0	0	0.0
ADSL	ENST00000623063	13	0		0		0		1715	0	0.0	0	0.0	0	0.0
ADSS1	ENST00000330877	13	1	1	1	1	2	1,12	1634	212	13.0	212	13.0	382	23.4
AEBP1	ENST00000223357	21	1	14	4	2,4,12,14	7	1,2,4,5,12,14,17	3897	106	2.7	665	17.1	1281	32.9
AFAP1L1	ENST00000296721	19	1	1	1	1	2	1,2	2687	36	1.3	36	1.3	185	6.9
AFAP1L2	ENST00000304129	19	0		0		1	11	2837	0	0.0	0	0.0	232	8.2
AFDN	ENST00000683244	34	1	33	1	33	8	1,5,8,11,19,29,32,33	6176	105	1.7	105	1.7	1683	27.3
AFF1	ENST00000395146	20	0		0		2	12,20	4057	0	0.0	0	0.0	1197	29.5
AFF2	ENST00000370460	21	0		4	2,3,11,16	16	2,3,5,8,9,10,11,12,13,14,15,16,18,19,20,21	4356	0	0.0	2222	51.0	4003	91.9
AFF3	ENST00000672756	22	2	9,15	2	9,15	4	4,7,9,15	4121	1216	29.5	1216	29.5	1695	41.1
AFF4	ENST00000265343	20	0		0		3	3,11,13	3892	0	0.0	0	0.0	2014	51.7
AFG2A	ENST00000274008	16	1	11	3	5,11,16	7	5,6,9,11,14,15,16	3002	230	7.7	1089	36.3	1847	61.5
AFG2B	ENST00000305560	8	0		0		1	2	2422	0	0.0	0	0.0	206	8.5
AFG3L2	ENST00000269143	17	1	1	1	1	1	1	2734	134	4.9	134	4.9	134	4.9
AFP	ENST00000395792	14	0		0		1	8	2110	0	0.0	0	0.0	235	11.1
AGA	ENST00000264595	9	0		0		0		1221	0	0.0	0	0.0	0	0.0
AGAP1	ENST00000304032	18	0		0		3	6,8,11	2934	0	0.0	0	0.0	520	17.7
AGBL1	ENST00000614907	23	2	1,23	2	1,23	7	1,3,8,11,18,21,23	3826	299	7.8	299	7.8	1651	43.2
AGBL2	ENST00000525123	18	0		1	6	5	6,9,10,12,17	3069	0	0.0	134	4.4	1386	45.2
AGBL4	ENST00000371839	14	0		0		3	2,3,10	1792	0	0.0	0	0.0	461	25.7
AGBL5	ENST00000360131	14	0		0		3	2,4,8	2941	0	0.0	0	0.0	609	20.7
AGFG2	ENST00000300176	12	1	6	2	1,6	3	1,4,6	1686	146	8.7	387	23.0	561	33.3
AGK	ENST00000649286	15	1	12	2	12,14	7	6,10,11,12,13,14,16	1569	171	10.9	262	16.7	829	52.8
AGL	ENST00000361915	33	0		1	6	1	6	5259	0	0.0	202	3.8	202	3.8
AGMO	ENST00000342526	13	1	11	1	11	3	3,9,11	1598	103	6.4	103	6.4	430	26.9
AGO1	ENST00000373204	19	1	19	2	7,19	3	7,12,19	2954	129	4.4	237	8.0	442	15.0
AGO2	ENST00000220592	19	1	1	3	1,8,11	3	1,8,11	2960	42	1.4	364	12.3	364	12.3
AGO3	ENST00000373191	19	0		3	1,11,15	8	1,2,3,5,11,12,13,15	2963	0	0.0	408	13.8	1283	43.3
AGPAT2	ENST00000371696	6	0		0		1	1	957	0	0.0	0	0.0	202	21.1
AGPAT3	ENST00000291572	8	0		0		0		1291	0	0.0	0	0.0	0	0.0
AGPAT5	ENST00000285518	8	0		0		2	2,5	1255	0	0.0	0	0.0	201	16.0
AGPS	ENST00000264167	20	0		1	1	1	1	2377	0	0.0	280	11.8	280	11.8
AGR2	ENST00000419304	7	0		0		1	2	668	0	0.0	0	0.0	159	23.8
AGRN	ENST00000379370	36	1	1	2	1,5	5	1,2,4,5,18	6858	221	3.2	466	6.8	1343	19.6
AGRP	ENST00000290953	3	0		0		1	2	459	0	0.0	0	0.0	150	32.7
AGT	ENST00000366667	4	0		0		0		1511	0	0.0	0	0.0	0	0.0
AGTPBP1	ENST00000357081	25	0		2	11,14	10	6,10,11,14,15,17,19,20,23,26	4181	0	0.0	931	22.3	2289	54.7
AGTR1	ENST00000349243	1	0		0		0		1100	0	0.0	0	0.0	0	0.0
AGTR2	ENST00000371906	1	0		0		1	3	1112	0	0.0	0	0.0	1112	100.0
AGXT	ENST00000307503	11	0		0		1	2	1399	0	0.0	0	0.0	213	15.2
AGXT2	ENST00000231420	14	0		0		0		1825	0	0.0	0	0.0	0	0.0
AHCY	ENST00000217426	10	0		0		0		1499	0	0.0	0	0.0	0	0.0
AHDC1	ENST00000673934	1	0		0		1	8	4832	0	0.0	0	0.0	4832	100.0
AHI1	ENST00000265602	26	1	7	4	7,10,12,21	12	7,8,9,10,12,13,14,15,17,19,21,25	4111	580	14.1	1216	29.6	2589	63.0
AHNAK2	ENST00000333244	7	1	1	1	1	1	1	17528	75	0.4	75	0.4	75	0.4
AHR	ENST00000242057	11	0		1	6	6	2,3,4,6,8,10	2767	0	0.0	151	5.5	1989	71.9
AHSG	ENST00000411641	7	0		0		2	4,7	1244	0	0.0	0	0.0	549	44.1
AICDA	ENST00000229335	5	0		0		0		697	0	0.0	0	0.0	0	0.0
AIFM1	ENST00000287295	16	0		0		0		2162	0	0.0	0	0.0	0	0.0
AIMP1	ENST00000672341	6	0		0		0		1059	0	0.0	0	0.0	0	0.0
AIMP2	ENST00000223029	4	0		1	1	2	1,4	1043	0	0.0	155	14.9	564	54.1
AIP	ENST00000279146	6	0		0		0		1113	0	0.0	0	0.0	0	0.0
AIPL1	ENST00000381129	6	0		0		0		1275	0	0.0	0	0.0	0	0.0
AIRE	ENST00000291582	14	0		0		1	12	1918	0	0.0	0	0.0	123	6.4
AJAP1	ENST00000378191	5	0		0		1	2	1336	0	0.0	0	0.0	820	61.4
AK1	ENST00000644144	6	0		0		0		705	0	0.0	0	0.0	0	0.0
AK2	ENST00000672715	6	0		0		0		840	0	0.0	0	0.0	0	0.0
AK7	ENST00000267584	18	0		0		1	11	2532	0	0.0	0	0.0	149	5.9
AK9	ENST00000424296	40	1	18	4	18,23,29,41	17	6,13,18,19,22,23,26,27,28,29,31,32,34,36,38,40,41	6536	177	2.7	704	10.8	3024	46.3
AKAP10	ENST00000225737	15	2	1,3	2	1,3	4	1,3,4,9	2289	311	13.6	311	13.6	1054	46.0
AKAP3	ENST00000228850	3	0		0		0		2622	0	0.0	0	0.0	0	0.0
AKAP6	ENST00000280979	12	0		0		7	2,5,7,8,10,11,12	7200	0	0.0	0	0.0	1488	20.7
AKAP7	ENST00000431975	8	1	1	2	1,8	5	1,2,4,7,8	1207	39	3.2	256	21.2	733	60.7
AKAP9	ENST00000356239	50	0		0		3	17,31,33	12724	0	0.0	0	0.0	1974	15.5
AKNA	ENST00000374088	21	0		0		4	2,3,15,21	4740	0	0.0	0	0.0	1777	37.5
AKR1B1	ENST00000285930	10	0		0		0		1151	0	0.0	0	0.0	0	0.0
AKR1B15	ENST00000457545	10	0		0		2	3,6	1235	0	0.0	0	0.0	268	21.7
AKR1C2	ENST00000380753	9	0		0		1	2	1152	0	0.0	0	0.0	188	16.3
AKR1C4	ENST00000263126	9	0		1	2	3	1,2,6	1152	0	0.0	188	16.3	422	36.6
AKR1D1	ENST00000242375	9	0		0		0		1161	0	0.0	0	0.0	0	0.0
AKR1E2	ENST00000298375	10	1	1	1	1	1	1	1163	59	5.1	59	5.1	59	5.1
AKT1	ENST00000649815	13	1	5	2	5,11	2	5,11	1703	132	7.8	281	16.5	281	16.5
AKT2	ENST00000392038	13	0		0		0		1706	0	0.0	0	0.0	0	0.0
AKT3	ENST00000673466	13	1	11	11	3,4,5,6,7,8,9,10,11,12,13	12	3,4,5,6,7,8,9,10,11,12,13,14	1700	235	13.8	1528	89.9	1634	96.1
ALAD	ENST00000409155	11	0		0		0		1213	0	0.0	0	0.0	0	0.0
ALAS2	ENST00000650242	10	0		0		2	9,10	1964	0	0.0	0	0.0	472	24.0
ALB	ENST00000295897	14	0		0		0		2110	0	0.0	0	0.0	0	0.0
ALDH18A1	ENST00000371224	17	0		0		0		2728	0	0.0	0	0.0	0	0.0
ALDH1A1	ENST00000297785	13	0		0		3	7,9,11	1766	0	0.0	0	0.0	517	29.3
ALDH1A2	ENST00000249750	13	0		0		0		1817	0	0.0	0	0.0	0	0.0
ALDH1A3	ENST00000329841	13	1	5	1	5	3	4,5,10	1799	82	4.6	82	4.6	417	23.2
